password                            "Password to the server"
logfile                             "Filename to log all output to"
console_output_level                "Adjusts the amount of information in the console"
sv_name                             "Server name"
bindaddr                            "Address to bind the client/server to"
sv_port                             "Port to use for the server"
sv_external_port                    "External port to report to the master servers"
sv_map                              "Map to use on the server"
sv_max_clients                      "Maximum number of clients that are allowed on a server"
sv_max_clients_per_ip               "Maximum number of clients with the same IP that can connect to the server"
sv_high_bandwidth                   "Use high bandwidth mode. Doubles the bandwidth required for the server. LAN use only"
sv_register                         "Register server with master server for public listing"
sv_rcon_max_tries                   "Maximum number of tries for remote console authentication"
sv_rcon_bantime                     "The time a client gets banned if remote console authentication fails. 0 makes it just use kick"
sv_auto_demo_record                 "Automatically record demos"
sv_auto_demo_max                    "Maximum number of automatically recorded demos (0 = no limit"
ec_bindaddr                         "Address to bind the external console to. Anything but 'localhost' is dangerous"
ec_port                             "Port to use for the external console"
ec_password                         "console password"
ec_bantime                          "The time a client gets banned if econ authentication fails. 0 just closes the connection"
ec_auth_timeout                     "Time in seconds before the the econ authentification times out"
ec_output_level                     "Adjusts the amount of information in the external console"
debug                               "Debug mode"
dbg_stress                          "Stress systems"
dbg_stress_network                  "Stress network"
dbg_pref                            "Performance outputs"
dbg_graphs                          "Performance graphs"
dbg_hitch                           "Hitch warnings"
dbg_stress_server                   "Server to stress"
dbg_resizable                       "Enables window resizing"
sv_welcome                          "Message that will be displayed to players who join the server"
sv_broadcast                        "The broadcasting message"
sv_reserved_slots                   "The number of slots that are reserved for special players"
sv_reserved_slots_pass              "The password that is required to use a reserved slot"
sv_hit                              "Whether players can hammer/grenade/laser eachother or not"
sv_endless_drag                     "Turns endless hooking on/off"
sv_test_cmds                        "Turns testing commands aka cheats on/off"
sv_freeze_delay                     "How many seconds the players will remain frozen (applies to all except delayed freeze in switch layer & deepfreeze"
cl_race_cheats                      "Enable Cheats Such as Zoom"
cl_race_binds                       "Enable Default DDRace builds when pressing the reset binds button"
cl_race_binds_set                   "Whether the DDRace binds set or not (this is automated you don't need to use this"
sv_endless_super_hook               "Endless hook for super players on/off"
sv_hide_score                       "Whether players scores will be announced or not"
sv_pauseable                        "Whether players can pause their char or not"
